문제 번호	문제명	선지1	선지2	선지3	선지4	정답	해설
0	오늘은 중요한 기능을 배포하는 날이다. 다음 중 개발자가 가장 들으면 안되는 말은?	(함께 코드를 보며) 이 부분 빨리 수정 가능할까요?	(깜깜한 새벽, 혼자 모니터링을 하며) 어?	음...어떡하죠?	(퇴근 후 슬랙 멘션이 울린다) @님 지금 어디세요?	4	이 일의 담당자인 개발자가 퇴근 후 업무 슬랙으로 호출당했다는 것만큼 급한 상황은 없다.
1	개발자가 갑자기 모니터를 껐다 켰다 한다. 가장 그럴듯한 이유는?	전기를 아끼려는 환경운동	새로 산 모니터를 구경하려고	이러면 왠지 될 것 같아서	눈이 피로해서	3	개발자 밈 국룰: “껐다 켜봤어?”
2	개발자가 “이건 진짜 금방 끝나요”라고 말했다. 실제로 걸리는 시간은?	30분	오늘 퇴근 전에	이번 주 금요일 퇴근 전에	아무도 모른다.	4	“금방”은 개발자 세계에서 상대적인 시간 단위다.
3	개발자를 괴롭히던 에러가 갑자기 사라졌다. 개발자의 반응은?	문제를 정확히 분석한다.	재현 테스트를 작성한다.	상사에게 정리해 상세히 보고한다.	다음 작업을 진행한다.	4	“됐으면 됐다…”
4	“이건 진짜 간단해요”라는 말을 믿으면 안 되는 이유는?	문제의 크기를 아직 몰라서	담당자의 실력이 없어서	설명하기 귀찮아서	농담을 좋아해서	1	간단한 줄 알았던 일이 대형 프로젝트로 진화하는 순간
5	개발자가 커피를 마시는 이유는?	맛있어서	밤샘으로 지친 컨디션을 회복하기 위해	분위기 때문에	코드가 돌아가길 기원하며	4	커피 == 부적
6	“어제까지 잘 됐는데요?” 이 말을 들은 사람의 직업은?	마술사	의사	개발자	에어컨 수리 기사	3	개발자 세계 3대 미스터리 중 하나
7	아무것도 안 바꿨는데 문제가 생겼다. 이때 개발자의 머릿속은?	시스템 오류다.	두 달 전의 내가 저질렀다.	동료의 잘못이다.	AI 잘못이다.	2	과거의 내가 쓴 코드는 나도 모른다.
8	개발자가 에러를 보고 가장 먼저 하는 행동은?	에러 메시지를 그대로 복사한다.	매뉴얼을 찾아본다.	코드를 처음부터 다시 짠다.	동료에게 도움을 구한다.	1	구글은 개발자의 두 번째 뇌. 첫 번째는 기억 안 남
9	개발자가 코드에 주석을 안 남긴 이유는?	천재라서	바빠서	미래의 누군가 고생하길 바라서	귀찮아서	3	“이 코드 누가 짰어” -> 과거의 나
10	개발자가 가장 신뢰하는 테스트 방법은?	자동 테스트	QA 팀 검증	시뮬레이터 테스트	내 컴퓨터에서 되면 OK	4	“내 컴퓨터에선 되는데요?” 개발자 방어 주문 1단계
11	개발자가 가장 공포를 느끼는 색깔은?	검은색	초록색	빨간색	파란색	3	화면 가득 오류가 뜨는 빨간 줄은 개발자의 심박수를 급격히 올립니다.
12	개발자가 퇴근하려는데 상사가 "이거 간단한 건데"라고 잡았다. 이때 개발자의 속마음은?	아싸, 빨리 끝내고 가야지	진짜 간단하겠지?	오늘 퇴근은 글렀구나 ~	상사가 날 아끼는구나	3	개발자 사전에 "간단한건데" == "구조를 다 뜯어고쳐야 하는 복잡한 일"
13	숫자를 셀 때 개발자는 몇 부터 시작할까?	0	1	2	3	1	배열의 인덱스는 0부터 시작하는 것이 국룰
14	개발자가 코드를 짤 때 가장 많이 하는 행동은?	수학 공식 계산하기	타자 연습	복사 붙여넣기	모니터 청소하기	3	우리의 코드는 AI가 작성하고 이제 복사 붙여넣기 해야죠
15	신입 개발자가 들어왔을 때 사수가 가장 먼저 알려주는 것은?	회사의 비전	탕비실 위치	복잡한 서버 구조	코딩 스타일 가이드	2	카페인과 당 충전은 코드 품질과 직결되기 때문입니다.
16	경고 메시지를 본 개발자의 반응은?	심각하게 분석한다	즉시 고친다	못본 척 무시한다	동료에게 알린다	3	에러만 아니면 됩니다. 노란색 경고 따위는 가볍게 무시!
17	코드 리뷰에서 LGTM은 무슨 뜻일까요?	Let's Go To Market (쇼핑 ㄱㄱ)	Looks Good To Me (좋아 보이네요)	Let's Get This Money (돈 벌자)	Love Good Tears Money	2	문제가 없어보일 때 많이 사용되는 줄임말입니다
18	다음 중 개발자가 "라이브러리"라고 부르는 것은?	책 읽는 도서관	미리 작성된 코드 모음집	회사 휴게실	사내 식당	2	남이 잘 짜준 코드를 가져와서 조립하는 것, 이게 바로 현대 개발
19	AI가 코드를 짜주기 시작했다. 개발자의 반응은?	내 밥그릇 ㅠㅠ	오 개꿀 (복붙)	기획자로 전향한다	퇴사한다	2	AI는 훌륭한 부사수입니다
20	개발자가 "이게 왜 돌아가지"라고 말하는 상황은?	코드가 완벽할 때	버그가 있어야 하는데 정상 동작할 때	컴퓨터가 회전할 때	의자가 돌아갈 때	2	내가 짠 논리대로라면 에러가 나야 하는데 잘 되면 더 불안합니다.
21	개발자가 “이건 설정 문제예요”라고 말할 때 가장 가까운 의미는?	옵션 하나만 바꾸면 된다	환경마다 다르게 터진다	코드가 잘못됐다	다시 설치하면 된다	2	내 컴퓨터에선 되는데 다른 환경에선 안 되는 그 문제.
22	개발자가 “이건 리팩터링이에요”라고 말하면 실제로는?	성능 개선	코드 정리	기능 변경	다 뜯어고침	4	리팩터링은 종종 이사 + 인테리어 + 철거다.
23	개발자가 가장 오래 붙잡고 있는 파일은?	최신 파일	가장 큰 파일	이름이 애매한 파일	테스트 파일	3	util, temp, final_final 같은 이름은 정체 불명이다.
24	개발자가 기능을 만들고 “이건 쓰지 마세요”라고 말하는 이유는?	미완성이라서	위험해서	언제 터질지 몰라서	본인도 이해 못 해서	4	만든 사람도 설명 못 하면 금지 구역이 된다.
25	개발자가 회의에서 가장 자주 쓰는 말은?	네	일단 해볼게요	가능은 한데요	다 맞습니다	3	“가능은 한데요” 뒤에는 조건·시간·위험이 숨어 있다.
26	개발자가 기능 설명을 하다 갑자기 말이 느려지는 순간은?	중요한 부분이라서	긴장해서	기억이 안 나서	아직 구현 안 해서	4	설명하면서 구현 안 한 게 떠오르는 순간이다.
27	개발자가 파일 이름에 숫자를 붙이기 시작했다면?	버전 관리를 잘한다	실험 중이다	이전 버전이 망했다	정리가 끝났다	3	final2, final3은 희생의 흔적이다.
28	개발자가 코드를 보며 가장 먼저 확인하는 것은?	디자인	주석	함수 이름	누가 썼는지	4	작성자를 알면 마음의 준비를 할 수 있다.
29	개발자가 “이건 임시로 넣어둔 거예요”라고 말하면?	곧 삭제된다	테스트용이다	중요하지 않다	계속 사용된다	4	임시는 개발 세계에서 가장 영구적인 상태다.
30	개발자가 가장 안심하는 순간은 언제일까?	코드가 컴파일될 때	테스트가 통과할 때	에러가 안 날 때	하루 동안 아무 연락이 없을 때	4	진짜 평화는 아무도 연락 안 오는 날이다.
31	USB를 한 번에 꽂을 확률은?	50%	100%	0% (반드시 3번 돌려야 들어감)	99%	3	앞면으로 꽂음(안 들어감) -> 뒷면으로 돌림(안 들어감) -> 다시 앞면(들어감). 과학으로 설명할 수 없는 현상입니다.
32	개발자가 스트레스를 풀기 위해 장만하는 대표적인 '장비빨' 아이템은?	기계식 키보드	5천원짜리 마우스	노트와 펜	계산기	1	타건음(딸깍딸깍)은 개발자의 심신 안정에 도움을 줍니다.
33	개발자가 가장 어려워하고 머리 쥐어짜는 난제는?	복잡한 수학 계산	1000줄 코딩하기	변수 이름 짓기	야식 메뉴 고르기	3	data, temp, a... 짓다가 하루가 다 갑니다.
34	명절에 친척들이 개발자 조카에게 가장 많이 부탁하는 것은?	최신 앱 개발	인공지능 알고리즘 설명	프린터 연결 및 컴퓨터 수리	서버 구축	3	"컴퓨터 전공이니까 컴퓨터 잘 고치지?"는 개발자의 숙명입니다.
35	프로그래밍 언어를 배울 때 가장 먼저 출력해보는 문구는?	I am God	Hello World	Show me the money	Error 404	2	개발자의 탄생을 알리는 국룰 인사법입니다.
36	전 세계 개발자들의 코딩 선생님이자 구세주인 사이트는?	싸이월드	스택 오버플로우 (Stack Overflow)	배달의 민족	넷플릭스	2	개발의 절반은 구글링과 복사+붙여넣기(Ctrl+C, V)입니다.
37	개발자들의 눈 건강을 지켜주는, 간지의 상징인 화면 모드는?	다크 모드 (Dark Mode)	화이트 모드	핑크 모드	투명 모드	1	흰 배경에 검은 글씨는 개발자의 눈을 공격합니다.
38	코드가 안 풀릴 때, 책상 위 인형에게 코드를 설명하며 답을 찾는 방법을 무엇이라 할까요?	독백 디버깅	러버덕(고무오리) 디버깅	인형 놀이	혼잣말 대잔치	2	남에게 설명하다 보면 스스로 답을 찾게 되는 마법입니다.
39	개발자가 버그를 발견했을 때 우겨보는 말은? "이건 버그가 아니라 OOO입니다."	바이러스	의도	기능 (Feature)	실수	3	"It's not a bug, it's a feature." (버그가 아니라 의도된 기능입니다.)
40	개발자가 가장 싫어하는 문서는?	월급명세서	휴가 신청서	변경된 기획서	합격 통지서	3	개발 다 끝났는데 기획이 바뀌는 순간... (절망)
41	웹사이트를 찾을 수 없을 때 발생하는 '404 Not Found' 에러는 현실 세계의 '이것'에서 유래했다는 설이 있습니다. (사실 여부는 불분명하지만 유명한 이야기입니다)	서버실의 방 번호 (Room 404)	404번 버스	4월 4일	개발자의 몸무게	1	CERN의 404호 방에 데이터베이스가 있었다는 설이 있지만, 실제로는 4층 자체가 없었다는 반박도 있습니다. 그럼에도 가장 유명한 전설입니다.
42	개발자가 가장 싫어하는, 얽히고설킨 난해한 코드를 음식에 비유하면?	피자 코드	스파게티 코드	햄버거 코드	김밥 코드	2	"이 변수가 어디서 바뀌었지?"를 찾으려면 스파게티 면발(로직)을 하나하나 다 따라가야 합니다.
43	프로그래밍 언어 커뮤니티에서 "이것은 프로그래밍 언어입니까?"라는 논쟁으로 개발자를 가장 화나게 할 수 있는 것은?	C++	Python	HTML	Swift	3	컴퓨터 공학적 관점에서 엄밀히 따지면 HTML은 '마크업 언어'이지 '프로그래밍 언어'가 아닙니다.
44	키보드에서 개발자의 지문이 가장 많이 묻어있는 세 개의 키 조합은?	Ctrl, Alt, Del	Ctrl, C, V	W, A, S, D	F1, F2, F3	2	실제로 개발자들을 위한 선물로 키가 딱 3개(Ctrl, C, V)만 있는 미니 키보드가 판매되기도 할 정도로 유명한 자학 개그
45	개발자가 에러를 고치고 가장 먼저 하는 생각은?	왜 이런 실수를 했지	다시는 이런 일 없게 하자	기록으로 남겨야지	다른 데서 터지진 않겠지	4	하나 고치면 어딘가 하나는 흔들린다.
46	개발자가 갑자기 한숨을 쉰 이유는?	피곤해서	방금 뭔가 잘못 눌렀다는 것을 깨달아서	회의 생각나서	퇴근하고 싶어서	2	클릭 한 번에 하루를 날린다.
47	개발자가 가장 싫어하는 성격 유형은?	급한 사람	잘난 체하는 사람	변덕쟁이	답답한 사람	3	요구 사항이 계속 바뀜 == 지옥
48	개발자가 코드에서 TODO 주석을 발견했다. 가장 가능성 높은 상황은?	곧바로 처리한다	이슈를 생성한다	해당 줄을 조심히 피해서 지나간다	주석을 지운다	3	TODO는 미래의 나에게 떠넘기는 책임이다.
49	“이거 왜 이렇게 짰어요?”라는 질문을 들은 개발자의 반응은?	즉시 리팩터링을 약속한다	조용히 커밋 히스토리를 본다	설명을 시작하다가 말이 느려진다	웃으면서 넘긴다	3	말이 느려질수록 본인도 확신이 없다.
50	장애 공지 문구를 작성할 때 개발자가 가장 고민하는 것은?	정확한 원인	재발 방지 대책	언제까지 복구될지	누가 썼는지 안 들키는 표현	4	“시스템 이슈”라는 말에 수많은 감정이 담겨 있다.
51	개발자가 배포 직전에 가장 자주 하는 말은?	이건 안전해요	테스트 다 했어요	설마 문제 있겠어?	기도하자	4	배포는 과학이 아니라 신앙의 영역입니다. 테스트를 다 해도 기도는 필수
52	개발자가 가장 무서워하는 문장은?	이 기능 언제 돼요?	간단한 수정이에요	급한 건 아닌데요	기획이 조금 바뀌었어요	4	조금 바뀐 기획은 보통 전체 구조 변경을 의미한다
53	개발자가 가장 자주 미루는 작업은?	핵심 기능 구현	코드 리뷰	문서 작성	배포	3	문서는 항상 나중에 쓴다. 그 나중은 거의 오지 않는다.
54	개발자가 가장 믿지 않는 말은?	공식 문서	에러 메시지	QA 결과	금방 끝나요	4	이 말은 시공간을 왜곡한다.
55	개발자에게 "여자(남자)친구 있어요?"라고 물었을 때 가장 개발자스러운 답변은?	"있는데 안 만나요."	"404 Not Found"	"Null Pointer Exception"	"지금 빌드 중입니다."	2	요청하신 리소스를 찾을 수 없습니다.
56	다음 중 가장 믿을 수 없는 '시간 단위'는?	전자레인지 30초	컵라면 3분	군대의 국방부 시계	개발자의 "5분이면 수정해요."	4	개발자의 '5분'은 지구의 시간이 아닐 수 있습니다. (인터스텔라급 왜곡 발생)
57	3시간 동안 버그를 찾지 못해 헤매던 중, 알고 보니 원인이 '세미콜론(;)' 하나 빠진 것이었을 때 느끼는 감정은?	"아, 다행이다. 해결했네."	"다음부터는 조심해야지."	"이 멍청한 컴퓨터는 융통성이라곤 없구나."	(허탈한 웃음과 함께) 키보드를 반으로 접고 싶은 충동	4	고작 점 하나 때문에 내 3시간이 증발했다는 사실을 받아들이는 데는 시간이 필요합니다.
58	동료의 코드를 리뷰(Code Review)할 때, 코드가 너무 길고 복잡해서 읽기 귀찮을 때 남기는 마법의 약어는?	WIP (Work In Progress)	ASAP (As Soon As Possible)	LGTM (Looks Good To Me)	FYI (For Your Information)	3	"제 눈엔 좋아 보이네요"라는 뜻이지만, 사실 "에라 모르겠다 일단 합치자(Merge)"라는 뜻일 확률이 높습니다.
59	개발자가 "이번엔 제대로 짰어요"라고 자신있게 말한 후 가장 먼저 일어나는 일은?	칭찬받는다	승진한다	프로덕션에서 500 에러가 터진다	동료들이 박수친다	3	자신감 넘치는 배포 후엔 항상 뭔가 터진다. 머피의 법칙은 개발자를 비켜가지 않는다.
60	개발자가 "이 코드 누가 짰어?"라고 분노하며 Git Blame을 돌렸을 때 가장 자주 나오는 결과는?	퇴사한 전임자	인턴	6개월 전의 나	AI	3	과거의 나는 남이다. 그것도 원수 같은 남.
61	개발자가 주말에 가장 하고 싶지 않은 알림은?	"배포 롤백했습니다"	"서버 다운됐어요"	"긴급 회의 소집"	"아 그거 테스트 안 해봤는데..."	2	일요일 저녁 서버 장애 알림은 개발자의 영혼을 탈탈 털어갑니다. 주말은 이미 끝났다.
62	개발자가 가장 믿는 기록 방식은?	메모	녹음	로그	기억	3	기억은 지워져도 로그는 남는다.
63	개발자가 가장 좋아하는 정리 상태는?	깔끔함	미니멀	정돈됨	정렬됨	4	순서만 맞아도 마음이 편안
64	다음 중 버그가 가장 생기기 쉬운 상황은?	코드가 짧을때	기능이 단순할때	테스트가 많을때	조건문이 많을때	4	if가 늘어날수록 경우의 수는 폭발한다.
65	다음 중 “잘 돌아가는 코드”의 기준으로 가장 중요한 것은?	멋있는 코드	이해 가능한 코드	짧은 코드	빠른 코드	2	나중에 고칠 사람은 거의 항상 "나"다.
66	리팩토링(Refactoring) 이라는 말의 느낌과 가장 가까운 것은?	성능을 폭발시킨다	기능을 추가한다	모양을 다시 다듬는다	완전히 새로 만든다	3	Re(다시) + Factor(구조, 요소)
67	디버그(Debug) 라는 말의 어원에 가장 가까운 설명은?	벌레를 잡는다	벌레랑 싸운다	벌레를 먹는다	벌레를 살려준다	1	Debug = De(제거) + Bug(벌레)
68	다음 중 print("여기")가 가장 자주 사용되는 목적은?	성능 측정	기도	로그 수집	디버깅	1	사실상 “여기까지는 실행됐겠지?”라는 존재 확인 의식. 논리적 디버깅이라기보다 “제발 여기까지만이라도 와줘…” 라는 마음가짐이 핵심이다.
69	다음 중 컴공생의 시간 감각을 가장 왜곡시키는 것은?	알고리즘 문제	리팩터링	환경설정	디버깅	3	“이거 5분이면 돼~” → 3시간.
70	컴공생이 가장 많이 하는 거짓말은?	금방 끝나요	이해했습니다	테스트 했어요	주석에 써놨어요	4	주석은 있다. 다만 오래됨/틀림/코드와 불일치/혹은 아무 말도 안 함 그래도 그래도 “써놨다”고 말하게 된다.
71	개발자의 하루 일과 중 가장 많은 시간을 차지하는 것은?	코딩	회의	구글링	왜 안되는지 고민	4	코드 짜는 시간보다 "왜 안 돼?"를 외치는 시간이 3배 😭
72	"코드 리팩토링 하겠습니다"의 진짜 의미는?	코드를 개선하겠다	전부 다시 짜겠다	이해가 안 된다	시간이 남았다	2	리팩토링 = 갈아엎기 🔥 결국 새로 짜는 거죠
73	테스트 코드를 작성하는 시점은?	개발 전	개발 중	개발 후	배포 후 버그 터졌을 때	4	"이제 테스트 코드 짜야지" (다음 생에)
74	이거 누가 짠 거야?"라고 물었을 때의 답은?	제가 짰어요	전임자요	모르겠는데요	git blame 돌려보세요	4	전임자에게 모든 걸 떠넘기기 🏃 (본인이 짠 거라도)
75	프로그래머가 운동을 시작하는 이유는?	건강을 위해	스트레스 해소	허리가 아파서	아직 안 시작함	4	"내일부터 할 거야..." (이미 3년째) 🏋️
76	주말에 갑자기 서버가 다운되면?	즉시 복구한다	월요일까지 기다린다	전화를 못 본 척한다	"연락 못 받았어요"	3	주말엔 핸드폰이 고장 나는 법 📱🔇
77	개발자의 변명 중 가장 많이 쓰는 것은?	시간이 부족했어요	요구사항이 애매했어요	테스트 환경이 달랐어요	위의 모든 것	4	변명의 성삼위일체 ✨ 상황에 따라 픽
78	"이건 나중에 정리할게요"라는 말의 실제 의미는?	이번 주 안에 처리한다	다음 주 안에 처리한다	시간 날 때 처리한다	영원히 처리하지 않는다	4	나중에 = 미래의 나에게 떠넘기기. 그 미래는 오지 않는다
79	개발자가 갑자기 불안해지는 순간은?	에러가 발생했을 때	테스트가 실패했을 때	갑자기 모든 게 잘 될 때	코드 리뷰 요청이 왔을 때	3	에러가 나야 정상인데 너무 잘 돌아가면 오히려 무섭다
80	컴퓨터 화면에 빨간 글씨가 잔뜩 뜰 때 첫 번째 행동은?	침착하게 읽어본다	하나씩 해결해본다	모니터를 멀리한다	아무 일 없었던 척한다	4	본능적으로 거리부터 확보한다.
81	어제까지 잘 되던 게 오늘 갑자기 안 될 때 가장 많이 나오는 말은?	"내가 잘못했나?"	"컴퓨터가 이상해"	"누가 건드렸어?"	"원래 이런 거야"	2	사람은 자신의 실수보다는 기계를 먼저 의심한다
82	갑자기 컴퓨터를 껐다 켜는 사람의 이유는?	전기를 아끼려고	고장이 난 것 같아서	왠지 이러면 될 것 같아서	화면이 지겨워서	3	논리보다 믿음이 앞서는 순간입니다.
83	퇴근 후 단체 메신저에서 이름이 불렸을 때의 기분은?	반갑다	별일 아니겠지	심장이 철렁한다	행복하다	3	 퇴근 후 호출은 대부분 긴급 상황이다.
84	잘 안 되던 일이 갑자기 잘 되기 시작했을 때 반응은?	이유를 분석한다	다시 한 번 확인한다	주변에 자랑한다	 넘어간다	4	"됐으면 됐다" 더 건드리면 다시 망가질 수 있다.
85	가장 효과적인 오류 해결 방법은?	원하는 대답이 나올 때까지 AI를 괴롭힌다	지우고 처음부터 다시 한다	비슷한 사례를 분석한다	동료에게 토스한다	4	기존 코드의 정신적 부채를 전부 날려버리는 전략. “왜 안 되지?” → “아 처음부터 이렇게 하면 되네”
86	어렵기로 소문난 전공 수업을 들은 후 가장 먼저 드는 생각은?	컴퓨터가 더 친숙해졌다	세상이 논리적으로 보인다	이게 왜 돌아가는지 모르겠다	내가 똑똑해진 것 같다	3	이해는 못 했지만 컴퓨터는 여전히 잘 돌아간다. → 그래서 더 무섭다.
87	“이 코드는 이해되면 안 된다”의 의미는?	코드가 너무 난해하다	작성자가 없다	이미 너무 오래 돌아가고 있다	관련 문서가 없다	3	이해하려는 순간 책임이 생긴다.
88	개발자가 가장 행복해 보이는 순간은?	배포 직후	에러가 사라졌을 때	회의가 취소됐을 때	아무 알림도 없을 때	4	진짜 평화는 "아무 일도 안 일어나는 날"
89	개발자가 회의에서 고개를 끄덕일 때 실제 의미는?	완전히 이해했다	일단 해결 방법이 있다	일단 듣고는 있다	동의한다	3	 끄덕이지만 뇌는 아직 로딩 중이다.
90	개발자가 문제를 설명하다가 갑자기 말이 빨라지는 이유는?	자신 있어서	 시간이 없어서	이미 여러 번 겪어서	대충 넘기고 싶어서	4	 말하면 더 큰 얘기가 나온다.
91	개발자가 가장 무서워하는 테스트 결과는?	실패	경고	성공	아무 결과도 안 나옴	4	아무 반응이 없다는 건 뭔가 더 큰 문제가 숨어 있다는 뜻이다.
92	다음 중 개발자가 "버그"에 대해 느끼는 가장 가까운 의미는?	없을 수록 좋다	없으면 좋지만 있어도 괜찮다	있어도 안되고 없어도 안된다	무조건 없어야 한다	3	있다? 고쳐야 됨. 없다? 언제 문제가 터질지 모름.
93	컴공생이 말하는 “시간 복잡도”의 실제 의미는?	알고리즘 효율	실행 시간	입력 크기	이거 커지면 망한다	4	아슬아슬한 시간 복잡도를 보면 불안감이 먼저 온다.
94	‘추상화(abstraction)’가 필요한 가장 솔직한 이유는?	유연성을 위해	확장성을 위해	재사용성을 위해	다 생각하기 싫어서	4	인간의 뇌는 디테일을 버텨내지 못한다.
95	개발자가 “일단 이렇게 가죠”라고 말하는 순간은?	합리적인 판단	최선의 선택	안정적인 방향	지쳤다	4	“일단”은 에너지 고갈 신호다.
96	개발자가 “이 로직은 건드리면 안 돼요”라고 한다. 이유는?	최적의 로직이라서	자기도 몰라서	모두 검증되어서	권한이 없어서	2	이 코드는 지뢰다.
97	개발자가 갑자기 조용해졌을 때 가장 가능성 높은 상황은?	에러 메시지 읽는 중	어려운 설계 중	코드에 몰입 중	자는 중	1	에러 메시지는 말이 많아서 읽느라 조용해진다.
98	개발자가 “이건 구조상 어쩔 수 없어요”라고 말하는 순간 가장 가까운 진실은?	최적의 설계다	이미 너무 깊이 들어왔다	회사 정책 때문이다	처음부터 잘못됐다	2	지금 고치면 다 무너진다. 이미 돌아가고 있으니 신성불가침이 됐다.
99	개발자가 버그를 재현하지 못했을 때 가장 자주 드는 생각은?	사용자 환경 문제다	로그를 더 심어야겠다	다시 시도해보자	내가 미쳤나?	4	방금 전까진 분명 터졌는데… 나만 봤나?
100	개발자가 “이거 리스크는 있어요”라고 말했는데도 일이 진행됐다. 가장 높은 확률로 일어나는 일은?	아무 문제 없이 끝난다	예상한 문제가 그대로 터진다	전혀 다른 문제가 터진다	아무도 책임지지 않는다	3	예상한 문제는 빙산의 일각. 진짜는 수면 아래 있다.
101	개발자가 가장 자주 까먹는 것은?	변수명	함수명	Git 커밋	자신이 한 일	4	자신이 짠 코드는 3일만 지나면 낮설다.
102	개발자가 자주 사용하는 채팅 앱은? 	Slack	Discord	Telegram	KakaoTalk	1	Slack = 회사생활
103	개발자가 새로 배운 기술을 실제 프로젝트에 적용하고 싶어하는 시점은?	바로 적용	테스트 후 적용	신중하게 고민 후 적용	새 프로젝트가 생기면	4	기존 프로젝트에 신기술 = 리스크, 새 프로젝트가 안전
104	개발자가 코드를 짜다가 "이건 너무 복잡한데 일단 동작하게 하자"라고 생각하는 순간은?	초기 설계 단계	중간 개발 단계	마지막 단계	항상	4	모든 코드는 "일단 동작하게"에서 시작한다
105	개발자가 문서를 읽기 전에 먼저 하는 일은?	예제 코드 찾기	직접 실행해보기	스택오버플로우 검색	포기하기	2	문서보다 직접 해보는게 확실하다.
106	개발자가 코드를 완성한 후 느끼는 감정은?	성취감	자신감	의심	뭔가 놓친게 있다	4	100%는 거짓말이다. 항상 놓치는 게 있다
107	개발자가 데드라인 3일 전에 느끼는 감정은?	여유롭다	걱정된다	당황한다	이미 늦었다	1	아직 3일이나 남았네?
108	개발자가 동료의 코드를 보면서 가장 자주 하는 생각은?	이거 개선하면 좋을 것 같아요	나쁘지 않네요	왜 이렇게 했을까?	고치고 싶지만 말하면 귀찮아질 것 같다	4	남의 코드를 만지면 일이 더 늘어난다.
109	개발자가 에러 핸들링을 제대로 안 했을 때의 변명은?	나중에 추가할 예정이에요	에러가 안 날 것 같아서	try-catch만 할면 될 것 같아서	에러? 그게 뭐에요?	4	에러 핸들링은 미래의 나에게 맡긴다
110	개발자가 새로운 IDE나 에디터를 배울 때 하는 것은?	단축키 확인	플러그인 추천받기	튜토리얼	다시 원래로 들어가기	4	새 에디터는 며칠 쓰다가 기존 에디터로 복귀
111	개발자가 새로 온 동료에게 프로젝트를 설명할 때 가장 어려운 부분은?	전체 구조	왜 이렇게 설계했는지	각 모듈의 역할	전체	4	설명하다 보면 내가 왜 이렇게 짰는지도 모르겠다
112	개발자가 "이건 표준을 따라 작성했어요"라고 말하는 실제 의미는?	업계 표준	회사 표준	내가 생각하는 표준	표준이 뭐에요?	3	표준은 주관적이다.
113	개발자가 코드를 작성하다가 갑자기 "이건 너무 과한 것 같은데?"라고 생각할 때의 반응은?	간소화한다	일단 둔다	다시 작성한다	과한게 뭐 어때서	4	과한것도 동작하면 OK!
114	개발자가 프로젝트 마감일이 다가올 때 가장 많이 삭제하는 것은?	불필요한 기능	주석	테스트 코드	모두	3	마감일 = 테스트 코드의 생명줄이 끊기는 날
115	개발자가 메모리 누수를 발견했을 때 가장 먼저 하는 행동은?	즉시 수정한다	로그를 남긴다	무시한다	나중에 수정한다	3	메모리? 그건 가상의 개념이야 (무시)
116	개발자가 갑자기 키보드를 빠르게 치기 시작했다. 가장 그럴듯한 이유는?	타자 연습 중이다.	중요한 아이디어가 떠올랐다.	코드가 안 돌아간다.	카톡 중이다.	4	빠르게 키보드를 치는 것은 메신저를 하고 있을 때 뿐이다.
117	개발자가 가장 자주 저장하는 파일 이름은?	final	final_real	final_final	final_final_진짜마지막	4	숫자와 수식어가 늘어날수록 프로젝트의 고통도 함께 올라간다.
118	개발자가 문제를 설명하다가 갑자기 "어.. 잠깐만요"라고 말한다. 무슨 상황일까?	설명이 너무 길어졌다.	질문을 이해 못했다.	말하다 보니 문제를 발견했다.	배가 고프다.	3	남에게 설명하다 보면 본인이 놓친 버그를 스스로 발견하는 경우가 많다.
